,Date,repo,pulls_count, issue_comment_count, issues_count, review_comments_count, comments_count, commits_count,events_count, issue_events_count, releases_count, tags_count,contributors_count,,,,,
Data for presentation:,07/26/11 12:00 AM,kuma,0,0,0,0,6,0,0,0,0,0,2,,,,,
Data for presentation:,07/26/11 12:00 AM,mozillians,0,2,0,0,40,0,0,0,0,0,4,,,,,
Data for presentation:,07/26/11 12:00 AM,persona,0,174,0,0,8,0,0,0,0,0,23,,,,,
Data for presentation:,07/26/11 12:00 AM,playdoh,0,30,3,0,1,0,0,0,0,0,11,,,,,
Data for presentation:,07/26/11 12:00 AM,affiliates,0,9,0,0,0,0,0,0,0,0,2,,,,,
Data for presentation:,07/26/11 12:00 AM,basket,0,0,0,0,3,0,0,0,0,0,1,,,,,
Data for presentation:,07/26/11 12:00 AM,bleach,0,12,0,0,0,0,0,0,0,0,3,,,,,
Data for presentation:,07/26/11 12:00 AM,kitsune,0,108,0,0,0,0,0,0,0,0,4,,,,,
Data for presentation:,07/26/11 12:00 AM,Socorro-Tests,0,11,0,0,1,0,0,0,0,0,4,,,,,
Data for presentation:,07/26/11 12:00 AM,chromeless,0,6,4,0,0,0,0,0,0,0,9,,,,,
Data for presentation:,07/26/11 12:00 AM,addon-sdk,0,33,0,0,0,0,0,0,0,0,6,,,,,
Data for presentation:,07/26/11 12:00 AM,prospector,2,70,23,0,0,0,0,0,0,0,32,,,,,
Data for presentation:,07/26/11 12:00 AM,doctorjs,0,12,3,0,0,0,0,0,0,0,8,,,,,
Data for presentation:,07/26/11 12:00 AM,gcli,0,0,0,0,37,0,0,0,0,0,3,,,,,
Data for presentation:,07/26/11 12:00 AM,funfactory,0,2,0,0,14,0,0,0,0,0,3,,,,,
Data for presentation:,07/26/11 12:00 AM,browserid_addon,0,26,6,0,0,0,0,0,0,0,3,,,,,
Data for presentation:,07/26/11 12:00 AM,django-moz-header,0,1,0,0,0,0,0,0,0,0,1,,,,,
Data for presentation:,07/26/11 12:00 AM,zamboni,0,15,0,0,174,0,0,0,0,0,14,,,,,
Data for presentation:,07/26/11 12:00 AM,input-tests,0,13,0,0,0,0,0,0,0,0,4,,,,,
Data for presentation:,07/26/11 12:00 AM,mcom-tests,0,2,0,0,0,0,0,0,0,0,1,,,,,
Data for presentation:,08/25/11 12:00 AM,tuxedo,0,1,0,0,0,0,0,0,0,0,1,,,,,
Data for presentation:,08/25/11 12:00 AM,bleach,0,4,0,0,0,0,0,0,0,0,3,,,,,
Data for presentation:,08/25/11 12:00 AM,elasticutils,0,4,0,0,0,0,0,0,0,0,2,,,,,
Data for presentation:,08/25/11 12:00 AM,input.mozilla.org,0,1,0,0,0,0,0,0,0,0,1,,,,,
Data for presentation:,08/25/11 12:00 AM,narcissus,0,12,0,0,0,0,0,0,0,0,3,,,,,
Data for presentation:,08/25/11 12:00 AM,amo-validator,0,7,0,0,5,0,0,0,0,0,4,,,,,
Data for presentation:,08/25/11 12:00 AM,FlightDeck,0,0,0,0,8,0,0,0,0,0,3,,,,,
Data for presentation:,08/25/11 12:00 AM,test-amo-validator,0,1,0,0,0,0,0,0,0,0,1,,,,,
Data for presentation:,08/25/11 12:00 AM,fx-share-addon,0,3,0,0,0,0,0,0,0,0,2,,,,,
Data for presentation:,08/25/11 12:00 AM,Addon-Tests,0,121,0,0,1,0,0,0,0,0,14,,,,,
Data for presentation:,08/25/11 12:00 AM,sumo-tests,0,10,0,0,0,0,0,0,0,0,6,,,,,
Data for presentation:,08/25/11 12:00 AM,rhino,0,2,0,0,0,0,0,0,0,0,2,,,,,
